Aachen|Aachen, Germany|Aachen, Germany
London|London England United Kingdom|London England United Kingdom
Lorca|noname|Lorca, Spain
Loughborough|noname|Loughborough, England
Lowestoft|noname|Lowestoft, England
Lucca|Lucca, Italy|Lucca, Italy
Ludwigsburg|noname|Ludwigsburg, Germany
Ludwigshafen_(Rhein)|noname|Ludwigshafen, Germany
Lugansk|noname|Lugansk, Ukraine
Lund|Lund, Sweden|Lund, Sweden
Luton|noname|Luton, England
Luxembourg|noname|Luxembourg
Luzern|Luzern, Switzerland|Luzern, Switzerland
Lviv|Lviv, Ukraine|Lviv, Ukraine
Lyon|Lyon, France|Lyon, France
Maastricht|Maastricht, Netherlands|Maastricht, Netherlands
Madrid|Madrid, Spain|Madrid, Spain
Mahilio|noname|Mahiliou, Belarus
Maidenhead|noname|Maidenhead, England
Maidstone|noname|Maidstone, England
Mainz|Mainz, Germany|Mainz, Germany
Malaga|Malaga, Spain|Malaga, Spain
Malmo|Malmo, Sweden|Malmo, Sweden
Manchester|Manchester England, United Kingdom|Manchester, England
Mansfield_(England)|noname|Mansfied, England
Marbella|Marbella, Spain|Marbella, Spain
Margate|noname|Margate, England
Maribor|noname|Maribor, Slovenia
Marseille|Marseille, France|Marseille, France
Massa|noname|Massa, Italy
Melilla|noname|Melilla, Spain
Middlesbrough|Middlesbrough England, United Kingdom|Middlesbrough, England
Mijas|noname|Mijas, Spain
Milan|Milan, Italy|Milan, Italy
Milton_Keynes|Milton Keynes England, United Kingdom|Milton Keynes, England
Minsk|Minsk, Belarus|Minsk, Belarus
Miskolc|noname|Miskolc, Hungary
Modena|Modena, Italy|Modena, Italy
Monaco|noname|Monaco
Monte_Carlo|Monte-Carlo, Monaco|Monte-Carlo, Monaco
Montpellier|Montpellier, France|Montpellier, France
Moscow|Moscow, Russian Federation|Moscow, Russia
Mostar|noname|Mostar, Bosnia and Herzegovina
Mulhouse|Mulhouse, France|Mulhouse, France
Munich|Munich, Germany|Munich, Germany
Murcia_(city)|noname|Murcia, Spain
Mykolayiv|noname|Mykolayiv, Ukraine
Nancy|noname|Nancy, France
Nantes|noname|Nantes, France
Naples|Naples, Italy|Naples, Italy
Narva|noname|Narva, Estonia
Neath|Neath, Wales|Neath, Wales
Newcastle_upon_Tyne|Newcastle-upon-Tyne England, United Kingdom|Newcastle upon Tyne, England
Newport_(Monmouthshire)|noname|Newport, Wales
Nice|Nice, France|Nice, France
Nicosia|Nicosia, Cyprus|Nicosia, Cyprus
Niksic|noname|Niksic, Montenegro
Nis|noname|Nis, Serbia
Nitra|noname|Nitra, Slovakia
Nizhniy_Novgorod|noname|Nizhniy Novgorod, Russia
Northampton_(England)|Northampton, England|Northampton, England
Norwich|Norwich England, United Kingdom|Norwich, England
Nottingham|Nottingham England, United Kingdom|Nottingham, England
Novi_Pazar|noname|Novi Pazar, Serbia
Novi_Sad|noname|Novi Sad, Serbia
Novosibirsk|Novosibirsk, Russian Federation|Novosibirsk, Russia
Nuneaton|Nuneaton England, United Kingdom|Nuneaton, England
Oberhausen|noname|Oberhausen, Germany
Odense|Odense, Denmark|Odense, Denmark
Odessa|noname|Odessa, Ukraine
Oldham|noname|Oldham, England
Olomouc|Olomouc, Czech Republic|Olomouc, Czech Republic
Omsk|noname|Omsk, Russia
Ordino|noname|Ordino, Andorra
Osijek|noname|Osijek, Croatia
Oslo|Oslo, Norway|Oslo, Norway
Ostrava|noname|Ostrava, Czech Republic
Oulu|noname|Oulu, Finland
Oxford|Oxford, England|Oxford, England
Padua|Padua, Italy|Padua, Italy
Paisley|noname|Paisley, Scotland
Palermo|Palermo, Italy|Palermo, Italy
Palma_de_Mallorca|Palma de Mallorca, Spain|Palma de Mallorca, Spain
Pamplona|noname|Pamplona, Spain
Paris|Paris, France|Paris, France
Parma|Parma, Italy|Parma, Italy
Patra|noname|Patra, Greece
Pecs|noname|Pecs, Hungary
Perm|noname|Perm, Russia
Perugia|Perugia, Italy|Perugia, Italy
Peterborough|noname|Peterborough, England
Pilsen|noname|Pilsen, Czech Republic
Pinsk|noname|Pinsk, Belarus
Piraeus|noname|Piraeus, Greece
Pisa|noname|Pisa, Italy
Pistoia|noname|Pistoia, Greece
Pleven|noname|Plovdiv, Bulgaria
Plovdiv|noname|Plovdiv, Bulgaria
Plymouth_(England)|noname|Plymouth, England
Podgorica|noname|Podgorica, Montenegro
Poitiers|noname|Poitiers, France
Poole|noname|Poole, England
Porto|Porto, Portugal|Porto, Portugal
Portsmouth|noname|Portsmouth, England
Poznan|Poznan, Poland|Poznan, Poland
Prague|Prague, Czech Republic|Prague, Czech Republic
Prato|noname|Prato, Italy
Preston|noname|Preston, England
Prilep|noname|Prilep, Macedonia
Pristina|noname|Pristina, Kosovo
Pula|Pula, Croatia|Pula, Croatia
Randers|noname|Randers, Denmark
Ravenna|Ravenna, Italy|Ravenna, Italy
Reading_(England)|noname|Reading, England
Reims|noname|Reims, France
Reutlingen|noname|Reutlingen, Germany
Reykjavik|Reykjavik, Iceland|Reykjavik, Iceland
Riga|Riga, Latvia|Riga, Latvia
Rijeka|noname|Rijeka, Croatia
Rochdale|noname|Rochdale, England
Rochester_(England)|noname|Rochester, England
Rome|Rome, Italy|Rome, Italy
Roquetas_de_Mar|noname|Roquetas de Mar, Spain
Rostov-on-Don|noname|Rostov-on-Don, Russia
Rotherham|Rotherham England, United Kingdom|Rotherham, England
Rotterdam|Rotterdam, Netherlands|Rotterdam, Netherlands
Leamington_Spa|noname|Leamington Spa, England
Tunbridge_Wells|noname|Tunbridge Wells, England
Rugby_(England)|noname|Rugby, England
Runcorn|noname|Runcorn, England
Ruse|noname|Ruse, Bulgaria
Saint_Petersburg|Saint Petersburg, Russia|Saint Petersburg, Russia
Saint_Denis|noname|Saint Denis, France
Saint-Paul_de_Vence|noname|Saint-Paul de Vence, France
Salamanca|Salamanca, Spain|Salamanca, Spain
Sale_(England)|noname|Sale, England
Salford|noname|Salford, England
Salzburg|Salzburg, Austria|Salzburg, Austria
Samara|Samara, Russian Federation|Samara, Russia
San_Marino|noname|San Marino
Saint_Gallen|noname|Saint_Gallen, Switzerland
Santander|Santander, Spain|Santander, Spain
Sarajevo|noname|Sarajevo, Bosnia and Herzegovina
Saratov|noname|Saratov, Russia
Sassari|noname|Sassari, Italy
Scandicci|noname|Scandicci, Italy
Scarborough|noname|Scarborough, England
Segovia|Segovia, Spain|Segovia, Spain
Sevastopol|noname|Sevastopol, Ukraine
Seville|Seville, Spain|Seville, Spain
Sheffield|Sheffield England, United Kingdom|Sheffield, England
Shkodra|noname|Shkodra, Albania
Shrewsbury_(Shropshire)|noname|Shrewsbury, England
Siauliai|noname|Siauliai, Lithuania
Siena|Siena, Italy|Siena, Italy
Skopje|Skopje, Macedonia|Skopje, Macedonia
Slavonski_Brod|noname|Slavonski Brod, Croatia
Slough|Slough England, United Kingdom|Slough, England
Sofia|Sofia, Bulgaria|Sofia, Bulgaria
Solihull|noname|Solihull, England
Southampton|Southampton, England|Southampton, England
Southend|noname|Southend-on-Sea, England
Southport|noname|Southport, England
Split|Split, Croatia|Split, Croatia
St_Albans|noname|St Albans, England
St_Helens_(England)|noname|St Helens, England
Stara_Zagora|noname|Stara Zagora, Bulgaria
Stavanger|Stavanger, Norway|Stavanger, Norway
Stevenage|noname|Stevenage, England
Stockholm|Stockholm, Sweden|Stockholm, Sweden
Stockport|noname|Stockport, England
Stockton-on-Tees|noname|Stockton-on-Tees, England
Stoke_on_Trent|Stoke-on-Trent England, United Kingdom|Stoke-on-Trent, England
Strasbourg|Strasbourg, France|Strasbourg, France
Stuttgart|Stuttgart, Germany|Stuttgart, Germany
Subotica|noname|Subotica, Serbia
Sunderland|noname|Sunderland, England
Swansea|Swansea England, United Kingdom|Swansea, England
Swindon|noname|Swindon, England
Szeged|noname|Szeged, Hungary
Tallinn|Tallinn, Estonia|Tallinn, Estonia
Tampere|noname|Tampere, Finland
Tamworth_(England)|noname|Tamworth, England
Tartu|noname|Tartu, Estonia
Taunton_(England)|noname|Taunton, England
noname|Telde, Spain|Telde, Spain
Telford|noname|Telford, England
Terni|noname|Terni, Italy
Tetovo|noname|Tetovo, Macedonia
The_Hague|The Hague, Netherlands|The Hague, Netherlands
Thessaloniki|noname|Thessaloniki, Greece
Timisoara|Timisoara, Romania|Timisoara, Romania
Tirane|Tirane, Albania|Tirane, Albania
Tiraspol|noname|Tiraspol, Moldova
Torquay|Torquay England, United Kingdom|Torquay, England
Torremolinos|Torremolinos, Spain|Torremolinos, Spain
Torrevieja|noname|Torrevieja, Spain
Toulouse|Toulouse, France|Toulouse, France
Trondheim|noname|Trondheim, Norway
Turin|Turin|Turin, Italy
Turku|noname|Turku, Finland
Tuzla|noname|Tuzla, Bosnia and Herzegovina
Ufa|noname|Ufa, Russia
Ulm|Ulm, Germany|Ulm, Germany
Ulyanovsk|noname|Ulyanovsk, Russia
Utrecht|Utrecht, Netherlands|Utrecht, Netherlands
Vaduz|noname|Vaduz, Liechtenstein
Valencia|Valencia, Spain|Valencia, Spain
Valladolid_(Spain)|noname|Valladolid, Spain
Vanadzor|noname|Vanadzor, Armenia
Varna|noname|Varna, Bulgaria
Vatican_City|Vatican City|Vatican City
Liepaja|noname|Liepaja, Latvia
Venice|Venice, Italy|Venice, Italy
Verona|Verona, Italy|Verona, Italy
Viareggio|Viareggio, Italy|Viareggio, Italy
Vicenza|Vicenza, Italy|Vicenza, Italy
Vienna|Vienna, Austria|Vienna, Austria
Vila_Nova_de_Gaia|Vila Nova de Gaia, Portugal|Vila Nova de Gaia, Portugal
Vilnius|noname|Vilnius, Lithuania
Vitebsk|noname|Vitebsk, Belarus
Vladivostok|noname|Vladivostok, Russia
Vlore|noname|Vlore, Albania
Volgograd|Volgograd, Russian Federation|Volgograd, Russia
Voronezh|noname|Voronezh, Russia
Wakefield_(England)|Wakefield, England|Wakefield, England
Walsall|Walsall England, United Kingdom|Walsall, England
Warrington|noname|Warrington, England
Warsaw|Warsaw, Poland|Warsaw, Poland
Washington_(England)|Washington England, United Kingdom|Washington, United Kingdom
Watford|Watford England, United Kingdom|Watford, England
Weimar|Weimar, Germany|Weimar, Germany
West_Bromwich|noname|West Bromwich, England
Weston-super-Mare|noname|Weston-super-Mare, England
Weymouth|Weymouth, England|Weymouth, England
Widnes|noname|Widnes, England
Wiesbaden|Wiesbaden, Germany|Wiesbaden, Germany
Wigan|noname|Wigan, England
Winterthur|noname|Winterthur, Switzerland
Woking|noname|Woking, England
Wolfsburg|noname|Wolfsburg, Germany
Wolverhampton|noname|Wolverhampton, England
Worcester_(England)|noname|Worcester, England
Worthing|noname|Worthing, England
Wrexham|noname|Wrexham, Wales
Wroclaw|Wroclaw, Poland|Wroclaw, Poland
Yaroslavl|Yaroslavl, Russian Federation|Yaroslavl, Russia
Yekaterinburg|Yekaterinburg, Russian Federation|Yekaterinburg, Russia
Yerevan|noname|Yerevan, Armenia
York|York England, United Kingdom|York, England
Zadar|noname|Zadar, Croatia
Zagreb|Zagreb, Croatia|Zagreb, Croatia
Zamora_(Spain)|noname|Zamora, Spain
Zaporizhia|noname|Zaporizhia, Ukraine
Zaragoza|Zaragoza, Spain|Zaragoza, Spain
Zenica|noname|Zenica, Bosnia and Herzegovina
Zilina|Zilina, Slovakia|Zilina, Slovakia
Zurich|Zurich, Switzerland|Zurich, Switzerland
